time_series_name,model_run_date,prediction_date,predicted_value
time_series_0,27/02/2022,07/03/2022,-3.381041155
time_series_0,27/02/2022,08/03/2022,-1.327181145
time_series_0,27/02/2022,09/03/2022,1.829656243
time_series_0,27/02/2022,10/03/2022,1.882519806
time_series_0,27/02/2022,11/03/2022,-0.762308408
time_series_0,27/02/2022,12/03/2022,-1.566789904
time_series_0,06/03/2022,06/03/2022,-1.613260554
time_series_0,06/03/2022,07/03/2022,-2.139767615
time_series_0,06/03/2022,08/03/2022,-3.698967567
time_series_0,06/03/2022,09/03/2022,2.127735078
time_series_0,06/03/2022,10/03/2022,-0.341510216
time_series_0,06/03/2022,11/03/2022,3.157132115
time_series_0,06/03/2022,12/03/2022,4.198226683
time_series_0,06/03/2022,13/03/2022,-2.771093357
time_series_0,06/03/2022,14/03/2022,-0.882990484
time_series_0,06/03/2022,15/03/2022,-4.240623961
time_series_0,06/03/2022,16/03/2022,2.302290946
time_series_0,06/03/2022,17/03/2022,-0.416654777
time_series_0,06/03/2022,18/03/2022,0.879208589
time_series_0,06/03/2022,19/03/2022,-3.923732938
time_series_0,13/03/2022,13/03/2022,-0.585015142
time_series_0,13/03/2022,14/03/2022,-2.427361556
time_series_0,13/03/2022,15/03/2022,-3.514185569
time_series_0,13/03/2022,16/03/2022,-1.459039469
time_series_0,13/03/2022,17/03/2022,-0.757191545
time_series_0,13/03/2022,18/03/2022,2.969544825
time_series_0,13/03/2022,19/03/2022,1.949352368
time_series_0,13/03/2022,20/03/2022,2.225553904
time_series_0,13/03/2022,21/03/2022,-0.957860078
time_series_0,13/03/2022,22/03/2022,-1.331066096
time_series_0,13/03/2022,23/03/2022,-1.369518989
time_series_0,13/03/2022,24/03/2022,-0.847183933
time_series_0,13/03/2022,25/03/2022,-1.811891543
time_series_0,13/03/2022,26/03/2022,0.520286569
time_series_0,20/03/2022,20/03/2022,2.26577221
time_series_0,20/03/2022,21/03/2022,0.984003439
time_series_0,20/03/2022,22/03/2022,-0.720000075
time_series_0,20/03/2022,23/03/2022,-4.6253964
time_series_0,20/03/2022,24/03/2022,-3.67328919
time_series_0,20/03/2022,25/03/2022,-3.444285025
time_series_0,20/03/2022,26/03/2022,2.126894598
time_series_0,20/03/2022,27/03/2022,-0.783090419
time_series_0,20/03/2022,28/03/2022,-1.036943986
time_series_0,20/03/2022,29/03/2022,8.188706849
time_series_0,20/03/2022,30/03/2022,-1.157675188
time_series_0,20/03/2022,31/03/2022,2.621366528
time_series_0,20/03/2022,01/04/2022,0.217205598
time_series_0,20/03/2022,02/04/2022,-11.27034387
time_series_0,27/03/2022,27/03/2022,2.172136078
time_series_0,27/03/2022,28/03/2022,2.597694698
time_series_0,27/03/2022,29/03/2022,3.656844954
time_series_0,27/03/2022,30/03/2022,1.443252316
time_series_0,27/03/2022,31/03/2022,-0.685434285
time_series_0,27/03/2022,01/04/2022,0.426175105
time_series_0,27/03/2022,02/04/2022,-2.42935045
time_series_0,27/03/2022,03/04/2022,-0.545377908
time_series_0,27/03/2022,04/04/2022,4.961245858
time_series_0,27/03/2022,05/04/2022,4.988636977
time_series_0,27/03/2022,06/04/2022,10.11965016
time_series_0,27/03/2022,07/04/2022,4.106286149
time_series_0,27/03/2022,08/04/2022,-3.731437451
time_series_0,27/03/2022,09/04/2022,-8.924727871
time_series_0,03/04/2022,03/04/2022,-2.76047363
time_series_0,03/04/2022,04/04/2022,-2.896833922
time_series_0,03/04/2022,05/04/2022,-0.289287035
time_series_0,03/04/2022,06/04/2022,0.572871988
time_series_0,03/04/2022,07/04/2022,3.680526663
time_series_0,03/04/2022,08/04/2022,0.126857981
time_series_0,03/04/2022,09/04/2022,2.804161103
time_series_0,03/04/2022,10/04/2022,-2.810587251
time_series_0,03/04/2022,11/04/2022,-6.220144499
